Id,Probability
1,0.0612798623316167
2,0.04176262487984547
3,0.014397751900802405
4,0.07542031818290709
5,0.11174005131137624
6,0.029251421871610173
7,0.03812476962286526
8,0.04096279671921965
9,0.0028578215129289675
10,0.28348347116922673
11,0.008536029338301342
12,0.01900993339424483
13,0.008999564664186874
14,0.05211091282244605
15,0.05658779866823756
16,0.016369461501347646
17,0.024761111415982286
18,0.014199663679081348
19,0.2247732595077649
20,0.08641453428114879
21,0.007466780921874192
22,0.014066865365361772
23,0.005084373689116291
24,0.47795425430493754
25,0.06638631240149108
26,0.012824080594170308
27,0.09523342454931868
28,0.007166285708107083
29,0.048281680263992335
30,0.02235748723832642
31,0.06496799837471735
32,0.00560747419908007
33,0.012660454900389214
34,0.06183596540074913
35,0.3929874939950086
36,0.06414267122617254
37,0.03396263137802233
38,0.010271588864148971
39,0.011433968619359492
40,0.04152202389372341
41,0.3913685052039999
42,0.30415266322418627
43,0.1087314020698799
44,0.007528113296400277
45,0.060229148696472
46,0.0032473454410370064
47,0.0035961419341506403
48,0.017103573831108936
49,0.014660069917034483
50,0.02909229386468178
51,0.013960627455087384
52,0.018200353796472758
53,0.006428863689036971
54,0.05016944735659114
55,0.022800392575016808
56,0.06801954365042648
57,0.004945933011855919
58,0.12207504755834442
59,0.08753192183057902
60,0.07873475485690064
61,0.025070263815628442
62,0.007268370864579932
63,0.020598200552350118
64,0.007601947080656403
65,0.01739812178015071
66,0.018581427573675115
67,0.014916598719269123
68,0.1279212639552873
69,0.006343718539908989
70,0.6033344816921009
71,0.0155800336580029
72,0.10021496446635281
73,0.007024534053606093
74,0.1618462182234742
75,0.012987496864521867
76,0.029058800114062644
77,0.09503988421054035
78,0.039792501703984615
79,0.03749143460874948
80,0.018746314226042747
81,0.011936409010811352
82,0.014690973994613481
83,0.053983495941943016
84,0.008592517104215354
85,0.014291215356921908
86,0.014632311771603387
87,0.049034459594695795
88,0.007959355434287512
89,0.026649005525725293
90,0.02477785229367426
91,0.05947489235724971
92,0.012853140974852245
93,0.01136099551211287
94,0.017642710749943613
95,0.005192464415445555
96,0.1009468609760874
97,0.02800802426833231
98,0.09579313182456092
99,0.012119081592318318
100,0.011831334735304335
101,0.05126638840577288
102,0.07445148496165047
103,0.005951807060883138
104,0.04407577639749315
105,0.14117978217315785
106,0.02308398143222225
107,0.330656295046469
108,0.015384311847168241
109,0.00644610079453847
110,0.019247452670553465
111,0.013101718950145586
112,0.02532742532263412
113,0.023385255479157725
114,0.4625853729114101
115,0.09573206328035563
116,0.00969300029773625
117,0.00327029678314626
118,0.08552845622267147
119,0.01106688140737291
120,0.008142862016906761
121,0.01116316526851665
122,0.0568746320645893
123,0.00967838904073464
124,0.4485817750006468
125,0.006908199030348049
126,0.013586448746705473
127,0.004046303513848939
128,0.014359785811607897
129,0.0049730383322741396
130,0.05235310771367398
131,0.030936413852410256
132,0.061570251561521926
133,0.0060091140808306775
134,0.11101329388743739
135,0.15300970220229365
136,0.008071218555061238
137,0.18568414169511785
138,0.041050321195005346
139,0.006271803115238615
140,0.011523191470939274
141,0.005330434134466109
142,0.01415384044065152
143,0.004009478826865198
144,0.014803738933120817
145,0.30394856641548834
146,0.008785310449892907
147,0.003914929722783652
148,0.10484486660301492
149,0.004920728801542942
150,0.04129234824360428
151,0.0047697115942689
152,0.009851183245100498
153,0.006465026424101015
154,0.009792201286825385
155,0.013422736921866563
156,0.01406896779639349
157,0.05982092902701264
158,0.005562849750635054
159,0.09969124854255225
160,0.01813490275000046
161,0.004679811117814374
162,0.014581687249153171
163,0.01322612938287283
164,0.048024548320614466
165,0.011396838694932724
166,0.01695764890257475
